5,1000,3.16439,2.13754
5,1450,1.6568,1.43063
5,1900,1.92955,2.35683
5,2400,4.63933,4.6193
15,1000,6.71399,4.55551
15,1450,7.73637,4.40327
5,1000,0.00016,2.79456
5,1450,4.1e-05,2.23934
5,1900,3e-05,6.81161
5,2400,3e-05,3.92493
5,1000,0.000141,4e-05
5,1450,3e-05,4e-05
5,1900,3e-05,4e-05
5,2400,3e-05,4e-05
15,1000,3e-05,4e-05
15,1450,3e-05,3e-05
15,1900,3e-05,4.1e-05
15,2400,3e-05,3.1e-05
25,1000,3e-05,3e-05
25,1450,3e-05,4e-05
25,1900,3e-05,3e-05
25,2400,3e-05,4e-05
50,1000,3e-05,3e-05
50,1450,3e-05,3e-05
50,1900,2e-05,3e-05
50,2400,2e-05,2.1e-05
75,1000,2e-05,2e-05
75,1450,2e-05,2e-05
75,1900,2e-05,3e-05
75,2400,2e-05,2e-05
100,1000,2e-05,2e-05
100,1450,3e-05,3e-05
100,1900,2e-05,2e-05
100,2400,3e-05,3e-05
125,1000,2.1e-05,2e-05
125,1450,2e-05,3e-05
125,1900,2e-05,2e-05
125,2400,2.1e-05,2e-05
150,1000,3e-05,3e-05
150,1450,2e-05,2e-05
150,1900,2e-05,3e-05
150,2400,2e-05,2e-05
200,1000,2e-05,2e-05
200,1450,3e-05,2e-05
200,1900,3e-05,2.1e-05
200,2400,2e-05,2e-05
5,1000,0.596412,4e-05
5,1450,2.54847,4e-05
5,1900,6.36786,3e-05
5,2400,6.08592,3e-05
15,1000,5.90773,2e-05
15,1450,4.16394,2e-05
15,1900,5.89434,3.1e-05
15,2400,19.6761,2e-05
25,1000,5.74127,2e-05
25,1450,6.3216,2e-05
25,1900,9.58903,2e-05
25,2400,29.5857,3e-05
50,1000,14.7902,2e-05
50,1450,41.1913,2e-05
50,1900,36.056,2e-05
50,2400,22.3683,2e-05
75,1000,15.8548,2e-05
75,1450,35.697,3e-05
75,1900,75.9772,2e-05
75,2400,86.1845,2e-05
100,1000,23.6705,2e-05
100,1450,34.6424,2e-05
100,1900,39.484,2e-05
100,2400,63.1071,2e-05
125,1000,33.8426,2e-05
125,1450,42.4744,2e-05
125,1900,59.2742,3e-05
125,2400,71.8135,3e-05
150,1000,23.6292,3e-05
150,1450,51.6663,2e-05
150,1900,71.5397,2e-05
150,2400,79.4835,2e-05
200,1000,24.9391,2e-05
200,1450,43.8619,2e-05
200,1900,57.1782,3e-05
200,2400,132.327,3e-05
5,1000,0.000121,31.4409
5,1450,2e-05,182.491
5,1000,0.00013,17.8397
5,1450,2e-05,99.4076
5,1900,3e-05,141.773
5,2400,2e-05,226.073
5,1000,0.00013,11.0029
5,1450,4e-05,160.508
5,1900,4e-05,95.2373
5,1000,0.000131,58.7647
5,1450,3e-05,187.44
5,1900,3e-05,220.972
5,2400,2e-05,815.722
5,1000,0.000121,24.5959
5,1000,0.000131,86.4244
5,1450,3e-05,120.6
5,1900,2e-05,253.182
5,2400,2e-05,121.617
5,1000,0.00012,33.999
5,1450,4.1e-05,129.92
5,1000,0.00012,48.8565
5,1450,2e-05,96.6476
5,1000,0.00015,87.979
5,1450,2e-05,67.7815
5,1900,3e-05,186.092
5,1000,0.00016,142.687
5,1450,3e-05,146.245
5,1900,2e-05,366.078
5,1000,0.00012,40.0739
5,1450,3e-05,128.77
5,1900,3e-05,137.608
5,2400,2e-05,293.56
5,1000,0.396242,3.56798
5,1450,1.01651,65.0131
5,1900,2.0632,81.92
5,2400,2.73911,5.68236
15,1000,3.35953,2.9663
15,1450,4.69291,117.747
15,1900,17.2747,196.984
15,2400,7.13316,68.8115
25,1000,4.34208,12.6217
25,1450,9.51739,6.37632
25,1900,23.6456,195.636
25,2400,15.5999,24.9749
50,1000,10.5008,25.6486
50,1450,16.0445,196.114
50,1900,26.0254,86.4521
50,2400,23.0114,78.2091
75,1000,14.4271,380.534
75,1450,26.6721,303.911
75,1900,33.0278,745.195
75,2400,39.4346,728.824
100,1000,21.6935,252.589
100,1450,27.7365,423.846
100,1900,41.3702,319.341
100,2400,46.2254,530.026
125,1000,23.9823,45.9773
125,1450,27.5467,120.344
125,1900,41.9371,679.314
125,2400,53.2821,695.839
150,1000,22.4443,59.2841
150,1450,38.4312,107.809
150,1900,98.3152,1404.73
150,2400,89.5742,1618.95
200,1000,29.8939,936.268
200,1450,51.0736,86.0311
200,1900,62.3531,1381.71
200,2400,112.359,1554.37
5,1000,1.30794,1.14747
5,1450,0.901297,1.58501
5,1900,2.93777,75.6648
5,2400,3.14552,5.80084
15,1000,2.02497,67.1385
15,1450,3.57568,154.104
15,1900,6.51687,161.212
15,2400,7.23458,200.167
25,1000,5.62916,4.03779
25,1450,5.10542,222.191
