point_id,cluster
0,1
1,3
2,3
3,2
4,2
5,2
6,3
7,1
8,3
9,3
10,2
11,15
12,2
13,15
14,2
15,15
16,2
17,1
18,1
19,1
20,1
21,1
22,3
23,2
24,2
25,15
26,2
27,2
28,2
29,2
30,2
31,15
32,2
33,15
34,15
35,2
36,2
37,2
38,2
39,2
40,15
41,2
42,2
43,2
44,15
45,15
46,2
47,15
48,13
49,13
50,2
51,2
52,13
53,2
54,2
55,2
56,2
57,2
58,2
59,1
60,1
61,1
62,3
63,1
64,1
65,15
66,13
67,13
68,2
69,2
70,2
71,15
72,2
73,13
74,2
75,15
76,2
77,2
78,2
79,15
80,2
81,15
82,2
83,13
84,2
85,13
86,2
87,2
88,15
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,15
101,2
102,15
103,2
104,2
105,2
106,2
107,2
108,15
109,2
110,2
111,2
112,2
113,2
114,2
115,15
116,13
117,2
118,2
119,15
120,15
121,15
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,15
130,2
131,15
132,2
133,2
134,2
135,13
136,13
137,13
138,2
139,2
140,2
141,2
142,15
143,2
144,2
145,15
146,15
147,2
148,2
149,2
150,2
151,2
152,2
153,15
154,15
155,15
156,3
157,1
158,1
159,15
160,15
161,15
162,2
163,13
164,15
165,15
166,2
167,2
168,2
169,2
170,15
171,2
172,2
173,2
174,2
175,2
176,15
177,13
178,13
179,2
180,2
181,15
182,2
183,2
184,13
185,2
186,2
187,15
188,15
189,2
190,2
191,15
192,13
193,2
194,13
195,13
196,15
197,13
198,2
199,13
200,2
201,13
202,15
203,2
204,2
205,15
206,15
207,2
208,15
209,2
210,2
211,2
212,13
213,15
214,2
215,2
216,15
217,15
218,2
219,15
220,2
221,2
222,15
223,13
224,2
225,15
226,2
227,2
228,2
229,2
230,15
231,15
232,2
233,2
234,15
235,15
236,2
237,2
238,15
239,2
240,2
241,2
242,15
243,2
244,15
245,2
246,2
247,2
248,15
249,15
250,15
251,2
252,2
253,13
254,2
255,2
256,15
257,2
258,1
259,1
260,2
261,2
262,15
263,13
264,13
265,2
266,2
267,2
268,2
269,13
270,13
271,13
272,2
273,15
274,13
275,15
276,15
277,2
278,2
279,15
280,2
281,2
282,13
283,15
284,15
285,2
286,15
287,2
288,15
289,2
290,2
291,15
292,2
293,15
294,15
295,15
296,15
297,13
298,15
299,2
300,2
301,14
302,2
303,14
304,13
305,2
306,13
307,2
308,15
309,15
310,15
311,2
312,15
313,2
314,15
315,2
316,15
317,15
318,2
319,15
320,14
321,12
322,12
323,15
324,15
325,12
326,2
327,13
328,2
329,15
330,15
331,13
332,2
333,15
334,15
335,15
336,15
337,13
338,15
339,1
340,1
341,2
342,2
343,14
344,15
345,13
346,15
347,15
348,14
349,13
350,15
351,15
352,15
353,15
354,13
355,15
356,15
357,15
358,13
359,14
360,13
361,12
362,13
363,15
364,15
365,13
366,15
367,14
368,15
369,15
370,14
371,15
372,14
373,15
374,15
375,13
376,15
377,15
378,15
379,12
380,15
381,13
382,1
383,1
384,1
385,2
386,13
387,14
388,14
389,14
390,11
391,15
392,15
393,15
394,15
395,15
396,15
397,14
398,15
399,15
400,15
401,11
402,15
403,15
404,11
405,15
406,14
407,11
408,15
409,11
410,14
411,15
412,15
413,14
414,15
415,14
416,12
417,11
418,15
419,14
420,12
421,12
422,14
423,14
424,14
425,12
426,15
427,14
428,14
429,14
430,15
431,11
432,12
433,14
434,14
435,11
436,15
437,14
438,14
439,2
440,1
441,1
442,3
443,1
444,2
445,14
446,12
447,11
448,14
449,14
450,14
451,12
452,14
453,12
454,12
455,14
456,14
457,15
458,14
459,11
460,15
461,14
462,14
463,14
464,14
465,11
466,15
467,14
468,11
469,11
470,15
471,11
472,14
473,14
474,14
475,14
476,12
477,14
478,15
479,12
480,11
481,14
482,11
483,12
484,11
485,12
486,11
487,12
488,12
489,11
490,14
491,12
492,12
493,12
494,14
495,15
496,12
497,14
498,2
499,3
500,11
501,14
502,11
503,12
504,12
505,14
506,12
507,12
508,14
509,11
510,14
511,12
512,11
513,14
514,12
515,12
516,14
517,12
518,11
519,12
520,14
521,11
522,14
523,12
524,12
525,11
526,12
527,11
528,14
529,12
530,12
531,12
532,12
533,12
534,11
535,14
536,12
537,12
538,11
539,12
540,14
541,12
542,14
543,11
544,14
545,12
546,14
547,11
548,14
549,11
550,12
551,14
552,12
553,12
554,12
555,11
556,14
557,12
558,12
559,16
560,14
561,14
562,12
563,12
564,12
565,16
566,12
567,16
568,11
569,16
570,11
571,3
572,1
573,2
574,1
575,3
576,14
577,12
578,12
579,16
580,11
581,11
582,12
583,14
584,11
585,12
586,16
587,16
588,11
589,11
590,14
591,16
592,12
593,16
594,12
595,12
596,11
597,12
598,11
599,11
600,12
601,16
602,12
603,16
604,12
605,16
606,12
607,12
608,11
609,16
610,16
611,16
612,11
613,12
614,12
615,11
616,16
617,11
618,16
619,11
620,11
621,12
622,11
623,12
624,12
625,16
626,12
627,11
628,11
629,12
630,12
631,12
632,16
633,12
634,5
635,16
636,11
637,5
638,12
639,5
640,5
641,3
642,1
643,1
644,1
645,16
646,12
647,5
648,12
649,12
650,12
651,5
652,12
653,16
654,16
655,12
656,16
657,16
658,12
659,5
660,16
661,12
662,5
663,12
664,16
665,12
666,5
667,16
668,12
669,5
670,16
671,12
672,12
673,12
674,5
675,12
676,5
677,16
678,16
679,12
680,5
681,5
682,12
683,16
684,12
685,5
686,16
687,16
688,16
689,12
690,5
691,12
692,16
693,12
694,5
695,5
696,5
697,12
698,12
699,16
700,16
701,16
702,5
703,12
704,16
705,12
706,16
707,5
708,16
709,12
710,12
711,5
712,12
713,16
714,12
715,5
716,16
717,12
718,12
719,2
720,1
721,1
722,16
723,12
724,16
725,12
726,5
727,16
728,5
729,16
730,5
731,16
732,12
733,16
734,12
735,16
736,16
737,16
738,12
739,5
740,12
741,5
742,5
743,12
744,5
745,12
746,5
747,12
748,16
749,12
750,12
751,12
752,5
753,16
754,5
755,5
756,12
757,5
758,12
759,12
760,16
761,12
762,16
763,3
764,3
765,1
766,2
767,5
768,5
769,16
770,16
771,12
772,12
773,16
774,5
775,5
776,5
777,5
778,16
779,5
780,5
781,16
782,12
783,16
784,5
785,16
786,16
787,16
788,12
789,16
790,16
791,16
792,16
793,16
794,16
795,16
796,5
797,5
798,16
799,16
800,16
801,16
802,16
803,16
804,1
805,2
806,3
807,1
808,3
809,16
810,16
811,16
812,16
813,16
814,16
815,5
816,5
817,16
818,16
819,16
820,16
821,16
822,16
823,16
824,16
825,16
826,16
827,1
828,3
829,1
830,16
831,16
832,16
833,16
834,16
835,16
836,16
837,16
838,16
839,16
840,16
841,16
842,16
843,3
844,16
845,16
846,7
847,7
848,7
849,7
850,7
851,7
852,7
853,7
854,7
855,7
856,7
857,7
858,7
859,7
860,7
861,7
862,7
863,7
864,7
865,3
866,1
867,1
868,3
869,7
870,7
871,7
872,7
873,7
874,7
875,7
876,7
877,7
878,7
879,7
880,7
881,10
882,7
883,7
884,7
885,10
886,10
887,7
888,7
889,7
890,7
891,10
892,7
893,7
894,7
895,7
896,10
897,7
898,10
899,1
900,3
901,3
902,7
903,10
904,7
905,7
906,10
907,7
908,7
909,10
910,10
911,10
912,10
913,7
914,7
915,10
916,10
917,7
918,7
919,7
920,7
921,7
922,10
923,7
924,10
925,10
926,7
927,10
928,10
929,7
930,10
931,7
932,10
933,7
934,10
935,7
936,10
937,10
938,10
939,10
940,7
941,10
942,7
943,10
944,7
945,10
946,7
947,10
948,10
949,7
950,10
951,10
952,2
953,10
954,10
955,7
956,7
957,7
958,10
959,10
960,10
961,10
962,7
963,10
964,10
965,10
966,10
967,10
968,10
969,7
970,7
971,7
972,10
973,10
974,10
975,7
976,7
977,10
978,10
979,7
980,10
981,10
982,10
983,10
984,10
985,10
986,10
987,7
988,10
989,10
990,10
991,10
992,10
993,10
994,10
995,7
996,10
997,7
998,10
999,10
1000,3
1001,1
1002,3
1003,1
1004,1
1005,3
1006,3
1007,10
1008,10
1009,10
1010,10
1011,10
1012,7
1013,10
1014,7
1015,10
1016,10
1017,7
1018,7
1019,10
1020,10
1021,10
1022,10
1023,7
1024,10
1025,7
1026,10
1027,10
1028,10
1029,10
1030,10
1031,10
1032,10
1033,10
1034,10
1035,7
1036,10
1037,10
1038,10
1039,10
1040,10
1041,10
1042,7
1043,10
1044,10
1045,10
1046,10
1047,10
1048,7
1049,1
1050,3
1051,10
1052,10
1053,10
1054,10
1055,10
1056,10
1057,10
1058,10
1059,7
1060,7
1061,10
1062,10
1063,7
1064,7
1065,10
1066,10
1067,7
1068,7
1069,10
1070,10
1071,10
1072,10
1073,10
1074,10
1075,10
1076,7
1077,7
1078,10
1079,6
1080,10
1081,7
1082,7
1083,1
1084,1
1085,3
1086,10
1087,10
1088,7
1089,7
1090,10
1091,10
1092,10
1093,10
1094,6
1095,7
1096,7
1097,7
1098,10
1099,10
1100,7
1101,6
1102,6
1103,10
1104,7
1105,10
1106,10
1107,7
1108,10
1109,10
1110,10
1111,7
1112,7
1113,10
1114,10
1115,10
1116,7
1117,10
1118,7
1119,6
1120,10
1121,10
1122,10
1123,7
1124,10
1125,10
1126,10
1127,7
1128,10
1129,10
1130,10
1131,7
1132,10
1133,7
1134,10
1135,10
1136,7
1137,10
1138,6
1139,10
1140,10
1141,7
1142,6
1143,6
1144,10
1145,10
1146,10
1147,10
1148,10
1149,10
1150,1
1151,1
1152,3
1153,2
1154,10
1155,7
1156,10
1157,10
1158,10
1159,10
1160,7
1161,7
1162,10
1163,10
1164,10
1165,7
1166,10
1167,10
1168,10
1169,10
1170,10
1171,10
1172,10
1173,7
1174,6
1175,10
1176,10
1177,10
1178,7
1179,10
1180,10
1181,7
1182,6
1183,10
1184,10
1185,7
1186,10
1187,10
1188,7
1189,10
1190,6
1191,6
1192,10
1193,4
1194,10
1195,10
1196,10
1197,10
1198,3
1199,2
1200,1
1201,1
1202,10
1203,4
1204,6
1205,10
1206,10
1207,10
1208,10
1209,6
1210,4
1211,4
1212,10
1213,4
1214,6
1215,4
1216,10
1217,4
1218,4
1219,4
1220,6
1221,4
1222,4
1223,4
1224,4
1225,10
1226,6
1227,4
1228,4
1229,6
1230,4
1231,4
1232,4
1233,4
1234,4
1235,3
1236,1
1237,4
1238,6
1239,4
1240,6
1241,4
1242,4
1243,6
1244,4
1245,4
1246,4
1247,6
1248,6
1249,6
1250,4
1251,4
1252,4
1253,3
1254,3
1255,2
1256,1
